execution_date,signal_date,ticker,rank_selected,primary_etf,entry_price,exit_date,exit_price,exit_reason,etf_signal_date,sector_open_lots,cooldown_until,allocation,net_proceeds,net_profit,return_pct
2022-03-28,2022-03-25,DVN,1,XLE.US,50.05432555831266,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,995.1978185498791,-4.802181450120884,-0.0048021814501209015
2022-04-26,2022-04-25,DVN,1,XLE.US,46.87712021276596,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,1062.6496546401006,62.64965464010061,0.06264965464010053
2022-05-26,2022-05-25,DVN,1,XLE.US,59.67670369868582,2022-06-21,49.91373315719947,etf_rotation_risk_off,2022-06-17,7,2022-12-17,1000.0,834.7303473082949,-165.26965269170512,-0.16526965269170513
2022-06-27,2022-06-24,MCK,1,XLV.US,316.86410265448745,2023-06-27,402.6316115111036,one_year,,,,1000.0,1268.1359218461228,268.13592184612276,0.2681359218461228
2022-07-26,2022-07-25,DLTR,6,XLY.US,162.68,2023-07-26,152.0,one_year,,,,1000.0,932.4818785345462,-67.51812146545376,-0.06751812146545377
2022-08-26,2022-08-25,CEG,4,XLU.US,80.37602924656687,2023-01-20,78.91920462650603,etf_rotation_risk_off,2023-01-19,3,2023-07-19,1000.0,979.9121190080663,-20.08788099193373,-0.020087880991933704
2022-09-26,2022-09-23,ENPH,2,XLK.US,277.86,2023-04-27,166.53,stop_close_next_open,,,,1000.0,598.1325362772619,-401.8674637227381,-0.40186746372273807
2022-10-26,2022-10-25,MCK,1,XLV.US,380.1634804935004,2023-10-26,445.9802020525197,one_year,,,,1000.0,1170.7823356699994,170.78233566999938,0.17078233566999934
2022-11-28,2022-11-25,CEG,1,XLU.US,93.46361613753822,2023-01-20,78.91920462650603,etf_rotation_risk_off,2023-01-19,3,2023-07-19,1000.0,842.6963174691924,-157.30368253080758,-0.15730368253080762
2022-12-27,2022-12-23,CEG,1,XLU.US,86.04069666818803,2023-01-20,78.91920462650603,etf_rotation_risk_off,2023-01-19,3,2023-07-19,1000.0,915.3975756402522,-84.60242435974783,-0.08460242435974785
2023-01-26,2023-01-25,MPC,1,XLE.US,121.36947402290359,2024-01-26,149.38337976576125,one_year,,,,1000.0,1228.3546879462933,228.35468794629332,0.22835468794629343
2023-02-27,2023-02-24,STLD,1,XLB.US,114.98841213120158,2024-02-27,126.45049924043018,one_year,,,,1000.0,1097.4821058356486,97.48210583564855,0.09748210583564854
2023-03-27,2023-03-24,FSLR,1,XLI.US,212.77,2023-10-23,149.18,etf_rotation_risk_off,2023-10-20,3,2024-04-20,1000.0,699.7311142548292,-300.2688857451708,-0.30026888574517074
2023-04-26,2023-04-25,FSLR,1,XLI.US,205.01,2023-10-23,149.18,etf_rotation_risk_off,2023-10-20,3,2024-04-20,1000.0,726.2172049168335,-273.78279508316655,-0.2737827950831665
2023-05-26,2023-05-25,FSLR,1,XLI.US,201.04,2023-10-23,149.18,etf_rotation_risk_off,2023-10-20,3,2024-04-20,1000.0,740.5580440708318,-259.4419559291682,-0.2594419559291682
2023-06-26,2023-06-23,NVDA,1,SMH.US,42.37844391120299,2023-09-22,41.494570776255706,etf_rotation_risk_off,2023-09-21,3,2024-03-21,1000.0,977.1860244808696,-22.813975519130395,-0.022813975519130447
2023-07-26,2023-07-25,NVDA,1,SMH.US,45.93149334682742,2023-09-22,41.494570776255706,etf_rotation_risk_off,2023-09-21,3,2024-03-21,1000.0,901.5954002752743,-98.4045997247257,-0.0984045997247257
2023-08-28,2023-08-25,NVDA,1,SMH.US,46.3915866296573,2023-09-22,41.494570776255706,etf_rotation_risk_off,2023-09-21,3,2024-03-21,1000.0,892.653736115166,-107.346263884834,-0.10734626388483404
2023-09-26,2023-09-25,GE,2,,87.21714181752024,2024-09-25,187.6610872233666,one_year,,,,1000.0,2147.3525594527673,1147.3525594527673,1.1473525594527674
2023-10-26,2023-10-25,FICO,1,XLF.US,832.29,2024-10-25,2015.08,one_year,,,,1000.0,2416.2874179432647,1416.2874179432647,1.4162874179432645
2023-11-27,2023-11-24,AVGO,2,XLK.US,94.66099160212156,2024-11-26,162.07844470074053,one_year,,,,1000.0,1708.7762039264176,708.7762039264176,0.7087762039264176
2023-12-26,2023-12-22,META,1,XLC.US,351.89980719781306,2024-12-26,602.502023866744,one_year,,,,1000.0,1708.7182488367423,708.7182488367423,0.7087182488367423
2024-01-26,2024-01-25,META,1,XLC.US,390.9171719439793,2025-01-27,623.5280374977269,one_year,,,,1000.0,1591.8502680663655,591.8502680663655,0.5918502680663655
2024-02-26,2024-02-23,META,2,XLC.US,479.76985979366464,2025-02-25,662.6944404821294,one_year,,,,1000.0,1378.5145123123027,378.5145123123027,0.3785145123123028
2024-03-26,2024-03-25,NVDA,1,SMH.US,95.68542647671265,2024-07-25,112.85394912718206,etf_rotation_risk_off,2024-07-24,4,2025-01-24,1000.0,1177.069050429405,177.06905042940502,0.17706905042940502
2024-04-26,2024-04-25,NVDA,1,SMH.US,83.67316830455347,2024-07-25,112.85394912718206,etf_rotation_risk_off,2024-07-24,4,2025-01-24,1000.0,1346.051026452498,346.05102645249804,0.3460510264524981
2024-05-28,2024-05-24,SMCI,1,SMH.US,89.89999999999999,2024-07-25,69.99900000000001,etf_rotation_risk_off,2024-07-24,4,2025-01-24,1000.0,777.0753281312572,-222.92467186874285,-0.22292467186874287
2024-06-26,2024-06-25,NVDA,1,SMH.US,125.92244430379745,2024-07-25,112.85394912718206,etf_rotation_risk_off,2024-07-24,4,2025-01-24,1000.0,894.426364621325,-105.57363537867502,-0.10557363537867503
2024-07-26,2024-07-25,VST,1,XLU.US,71.20666850393701,2025-07-28,192.10797322850726,one_year,,,,1000.0,2692.4999219619867,1692.4999219619867,1.6924999219619865
2024-08-26,2024-08-23,NRG,2,XLU.US,81.54062595820895,2025-08-26,143.73850099158858,one_year,,,,1000.0,1759.260074869032,759.260074869032,0.7592600748690319
2024-09-26,2024-09-25,VST,1,XLU.US,118.82796075683252,2025-09-26,200.37139233664703,one_year,,,,1000.0,1682.8602346596097,682.8602346596097,0.6828602346596098
2024-10-28,2024-10-25,KKR,1,XLF.US,139.83290890230907,2025-10-28,121.64057835171212,one_year,,,,1000.0,868.1605767094387,-131.83942329056129,-0.1318394232905613
2024-11-26,2024-11-25,PLTR,1,XLK.US,64.57,2025-03-07,80.025,etf_rotation_risk_off,2025-03-06,3,2025-09-06,1000.0,1236.8751746166954,236.8751746166954,0.2368751746166955
2024-12-26,2024-12-24,PLTR,1,XLK.US,83.16,2025-03-07,80.025,etf_rotation_risk_off,2025-03-06,3,2025-09-06,1000.0,960.3779464285715,-39.62205357142852,-0.03962205357142856
2025-01-27,2025-01-24,VST,1,XLU.US,152.8322577983659,2026-01-27,159.07466374649945,one_year,,,,1000.0,1038.7641704745374,38.76417047453742,0.038764170474537396
2025-02-26,2025-02-25,PLTR,1,XLK.US,89.16,2025-03-07,80.025,etf_rotation_risk_off,2025-03-06,3,2025-09-06,1000.0,895.7495516487214,-104.25044835127858,-0.10425044835127861
2025-03-26,2025-03-25,GEV,2,XLI.US,334.28949293358517,2026-03-26,914.5327119983507,one_year,,,,1000.0,2730.2819274921007,1730.2819274921007,1.7302819274921006
2025-04-28,2025-04-25,HWM,2,XLI.US,137.87065474147417,2026-04-28,241.65351418708147,one_year,,,,1000.0,1749.2514941953978,749.2514941953978,0.7492514941953978
2025-05-27,2025-05-23,HWM,2,XLI.US,166.89275779951677,2026-05-27,262.5,one_year,,,,1000.0,1569.7221734133184,569.7221734133184,0.5697221734133184
2025-06-26,2025-06-25,HWM,2,XLI.US,178.17729881820753,2026-06-26,269.0,one_year,,,,1000.0,1506.714215450697,506.7142154506971,0.5067142154506972
2025-07-28,2025-07-25,GEV,2,XLI.US,636.8139960812772,2026-07-27,996.57,open_mtm,,,,1000.0,1561.8027598172655,561.8027598172655,0.5618027598172655
2025-08-26,2025-08-25,GEV,2,XLI.US,602.481976961544,2026-07-27,996.57,open_mtm,,,,1000.0,1650.801010821745,650.801010821745,0.650801010821745
2025-09-26,2025-09-25,PLTR,1,XLK.US,179.05,2026-06-26,109.04,stop_close_next_open,,,,1000.0,607.7745268919296,-392.22547310807045,-0.39222547310807043
2025-10-27,2025-10-24,SNDK,1,DRAM.US,191.5,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,10651.25035926893,9651.25035926893,9.65125035926893
2025-11-26,2025-11-25,SNDK,1,DRAM.US,226.0,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,9025.285149557521,8025.285149557521,8.025285149557522
2025-12-26,2025-12-24,SNDK,1,DRAM.US,259.595,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,7857.294800747317,6857.294800747317,6.857294800747317
2026-01-26,2026-01-23,SNDK,1,DRAM.US,476.485,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,4280.752686443435,3280.752686443435,3.280752686443435
2026-02-26,2026-02-25,SNDK,1,DRAM.US,645.74,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,3158.7240124508317,2158.7240124508317,2.158724012450832
2026-03-26,2026-03-25,SNDK,1,DRAM.US,654.0,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,3118.8294247706426,2118.8294247706426,2.1188294247706425
2026-04-27,2026-04-24,SNDK,1,DRAM.US,1019.645,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,2000.416266249528,1000.416266249528,1.0004162662495282
2026-05-26,2026-05-22,SNDK,1,DRAM.US,1535.21,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,1328.6224319799896,328.62243197998964,0.32862243197998975
2026-06-26,2026-06-25,SNDK,1,DRAM.US,2169.9951,2026-07-02,2043.8,etf_rotation_risk_off,2026-07-01,9,2027-01-01,1000.0,939.962695676133,-60.03730432386703,-0.060037304323867
